Revision No,Sale Order No,Distributor Order No,Distributor Code,Customer Code,Distributor Name,Person Incharge,Status,Price Amount,Currency,Creation Date,
00,,test,536M-EO1,REG,Sumitomo Corporation Middle East FZE ,536m-EO1,In-Process,1742.25,USD,28/07/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,490.63,USD,28/07/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,0.00,USD,28/07/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,0.00,USD,28/07/2015,
00,,PPO004766,555D,REG,Abdul Latif Jameel Machinery Trading Co. LTD,abdullah-d,In-Process,6.18,USD,28/07/2015,
00,,PPO004765-66,555D,REG,Abdul Latif Jameel Machinery Trading Co. LTD,abdullah-d,In-Process,0.00,USD,28/07/2015,
00,,PPO004767,555A,REG,Abdul Latif Jameel Machinery Trading Co. LTD,abdullah-a,In-Process,0.00,USD,28/07/2015,
00,,GB/KME/EO-81887,536C,REG,Galadari Trucks & Heavy Equipment,JAMALUDDIN,In-Process,0.00,USD,27/07/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,21519.44,USD,27/07/2015,
00,,test,536M-C01,REG,Sumitomo Corporation Middle East FZE ,536m-c01,In-Process,3256.36,USD,27/07/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,141992.56,USD,27/07/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,25028.42,USD,27/07/2015,
00,,D-SA1507-67,536M,REG,Sumitomo Corporation Middle East FZE ,536m,In-Process,7.74,USD,27/07/2015,
00,,GB/KME/EO-81881,536C,REG,Galadari Trucks & Heavy Equipment,JAMALUDDIN,In-Process,0.00,USD,26/07/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,11988.34,USD,26/07/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,36819.43,USD,26/07/2015,
00,,PPO004720,555D,REG,Abdul Latif Jameel Machinery Trading Co. LTD,farhan-d,In-Process,4911.33,USD,26/07/2015,
00,,7346,536K,REG,DAR AL HAI,aasqar-k,In-Process,0.00,USD,25/07/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,22129.35,USD,25/07/2015,
00,,D-SS1507-61,536M,REG,Sumitomo Corporation Middle East FZE ,536m,In-Process,0.00,USD,23/07/2015,
00,,PPO004707-1,555J,REG,Abdul Latif Jameel Machinery Trading Co. LTD,farhan-j,In-Process,0.00,USD,23/07/2015,
00,,test,536M-C06,REG,Sumitomo Corporation Middle East FZE ,536m-c06,In-Process,379510.11,USD,22/07/2015,
00,,test,536M-EO1,REG,Sumitomo Corporation Middle East FZE ,536m-EO1,In-Process,1494.66,USD,21/07/2015,
00,,test,536M-EO1,REG,Sumitomo Corporation Middle East FZE ,536m-EO1,In-Process,1494.66,USD,21/07/2015,
00,,test,536M-EO1,REG,Sumitomo Corporation Middle East FZE ,536m-EO1,In-Process,1494.66,USD,21/07/2015,
00,,test,536M-EO1,REG,Sumitomo Corporation Middle East FZE ,536m-EO1,In-Process,1494.66,USD,21/07/2015,
00,,TEST2,536M-EO1,REG,Sumitomo Corporation Middle East FZE ,536m-EO1,In-Process,0.00,USD,21/07/2015,
00,,test,536M-C14,REG,Sumitomo Corporation Middle East FZE ,536M-C14,In-Process,15861.35,USD,21/07/2015,
00,,test,536M-EO1,REG,Sumitomo Corporation Middle East FZE ,536m-EO1,In-Process,1494.66,USD,21/07/2015,
00,,CHECK,522K,REG,Saud Bahwan Projects and Equipment LLC,trama,In-Process,0.00,USD,20/07/2015,
